Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Mg77 Ni18 Nd5;429;437;887;0.1
Mg71 Ni18 La11;451;479;796;0.5
Mg73 Ni15 Gd10 Ag2;442;489;780;3.5
Mg75 Ni15 Gd10;449;482;799;3
Mg80 Ni10 Nd10;454;471;878;0.6
Ni42 Zr20.5 Ti20 Al8 Cu5 Si4.5;763;856;1364;2
Ni42 Zr22.5 Ti19 Al8 Cu5 Si3.5;780;846;1363;3
Ni42 Zr25 Ti20 Al8 Cu5;748;803;1366;0.5
Ni59 Zr20 Ti16 Si5;830;876;1304;2
[(Ni60 Fe40)75 B20 Si5]96 Nb4;745;795;1348;3
Ni60 Nb25 Zr15;860;891;1390;1.5
Ni60 Nb30 Zr10;875;902;1413;2
Ni60 Nb40;891;924;1478;1
Ni60 Zr20 Ti5 Nb10 Al5;826;896;1379;2
Ni61 Zr22 Nb7 Al4 Ta6;867;927;1379;2
[(Ni70 Fe30)75 B20 Si5]96 Nb4;750;795;1356;2.5
[(Ni80 Fe20)75 B20 Si5]96 Nb4;755;795;1381;2
Pd36 Ni36 S28;426;439;734;0.3
Pd38 Ni38 S24;429;451;733;0.3
Pd40 Ni40 P20;590;671;991;25
Pd73.5 Si16.5 Cu10;645;685;1136;2
Pd77 Si17 Cu6;642;686;1128;2
Pd79 Si10 P5 Cu3 Ag3;610;683;1005;5
Pd79 Si10 P5 Cu5 Ag1;614;684;1001;4
Pd79.5 Si16.5 Cu4;635;675;1086;0.75
Pr68 Cu25 Al7;382;402;705;1.5
"Pr72 (Cu,Ni)25 Al3";367;402;743;1.5
Zr42 Cu36 Al8 Ag8 Hf6;695;796;1187;15
Zr42 Cu36 Al8 Ag8 Ni6;695;779;1131;25
Zr42 Cu36 Al8 Ag8 Ti6;704;731;1212;4
Zr44 Cu36 Al8 Ag8 Fe4;706;799;1213;9
Zr44 Cu36 Al8 Ag8 Nb4;709;759;1209;9
Zr44 Cu36 Al8 Ag8 Pd4;705;795;1153;25
Zr44 Cu40 Ag8 Al8;693;791;1176;15
Zr46 Cu27.64 Be10 Ag8.36 Al8;697;813;1129;35
Zr46 Cu36 Al8 Ag8 Fe2;705;806;1169;10
Zr46 Cu36 Al8 Ag8 Nb2;707;765;1150;10
Zr46 Cu36 Al8 Ag8 Pd2;699;794;1140;30
Zr46 Cu38 Ag8 Al8;692;795;1145;20
Zr48 Be18 Cu14 Ni12 Nb8;656;724;1072;8
Zr48 Cu34 Ag8 Al8 Pd2;699;794;1140;30
Zr48 Cu36 Ag8 Al8;690;791;1143;25
Zr48 Cu37 Ag8 Al7;698;765;1125;10
Zr48 Cu40 Al7 Ag5;699;769;1121;10
Zr48 Cu43 Al7 Ag2;700;761;1152;12
Zr48 Cu45 Al7;698;758;1208;5
Zr48 Cu47.5 Al4 Cr0.5;416;471;922;3
Zr48 Cu47.5 Al4 Ni0.5;415;470;920;3
Zr48 Cu47.7 Al4 Co0.3;417;471;922;3
Zr49 Ni20 Ti17 Cu14;631;669;1087;3
(Zr50 Cu38 Al10 Ti2)97 Y3;665;736;1146;16
(Zr50 Cu38 Al10 Ti2)99 Y1;681;741;1145;18
Zr50 Cu34 Ag8 Al8;680;780;1148;15
Zr50 Cu38 Al10 Ti2;687;746;1154;5
Zr50 Cu43 Ag7;669;727;1171;4
Zr50 Cu48 Ag2;668;719;1192;2
Zr51 Co33 Al16;775;828;1258;2
Zr53 Cu19 Al14 Ni10 Y4;668;766;1069;5
Zr54 Cu19 Al15 Ni10 Y2;714;787;1112;5
Zr54 Cu46;696;746;1201;2
(Zr55 Al20 Co20 Cu5)93 Ag7;753;806;1222;14
(Zr55 Al20 Co20 Cu5)97 Ag3;740;805;1246;16
Zr55 Co25 Al20;761;840;1245;2.5
Zr55 Cu30 Al10 Ni5;690;757;1158;5.2
Zr56 Co22 Al16 Cu6;753;802;1245;2
Zr56 Co28 Al16;743;792;1258;7
Zr60 Cu25 Al15 Ni0;686;758;1270;12
Zr60 Cu20 Al15 Ni5;687;770;1263;12
Zr60 Cu15Al15 Ni10;687;782;1235;15
Zr57 Cu20 Al10 Ni8 Ti5;677;720;1145;10
Zr61.5 Ni14.15 Cu13.65 Al10.7;670;738;1155;5.5
(Zr62 Cu23 Al10 Fe5)95 Ag5;663;747;1189;5
(Zr62 Cu23 Al10 Fe5)99 Ag1;656;753;1175;4
Zr62.5 Ni17.45 Al12.1 Cu7.95;672;744;1172;7.5
Zr63.5 Ni15.1 Al10.7 Cu10.7;658;730;1166;6
Zr65 Cu14.4 Ni 11.9 Al8.7;647;710;1165;4
Zr65.5 Cu22.4 Ni6.5 Al5.6;630;733;1211;3
Zr70 Cu13.5 Ni8.5 Al8;625;707;1171;10
Zr70 Cu19 Al8 Ni3;630;689;1200;1.5
Zr70 Ni19 Al8 Cu3;640;710;1220;1.5
Y6 Fe72 B22;898.4;948.6;1412.6;2
Y56 Al24 Co20;636;690;1078;1.5
Y36 Sc20 Al24 Co20;645;760;1034;25
(Y0.06 Fe0.72 B0.22)98 Ti2;914.5;973.7;1416;3
Au55 Cu25 Si20;348;383;654;0.5
Au46 Ag5 Cu29 Si20;395;420;664;1
Ti50 Ni30 Cu32 Sn3;686;759;1283;1
Ti50 Ni15 Cu25 Sn3 Be7;688;733;1207;2
Ti45 Ni15 Cu25 Sn3 Be7 Zr5;680;741;1142;5
Ti40 Zr25 Ni8 Cu9 Be18;621;668;1009;8
Ti43.15 Zr9.59 Cu36.24 Ni9.06 Sn1.96;649;699;1167;3
Ti44.10 Zr9.80 Cu37.04 Ni7.06 Sn2.00;650;692;1167;2
(Ti0.45 Cu0.378 Zr0.10 Ni0.072)100 Sn;641;680;1167;1
Ti 29.44 Cu46.72 Ni 7.88 Zr7.6 Hf8.4 3;684;729;1195;3
Ti 31.4 Cu43.8 Ni8.8 Zr7.6 Hf 8.4;683;726;1185;4
Ti40 Cu30 Pd20 Zr10;687;747;1279;3
Ag30.8 Mg30.8 Ca30.8 Cu7.7;407;427;809;2
Ag38.4 Mg38.4 Ca23.2;391;425;796;1.1
Ag38.5 Mg30.8 Ca23.1 Cu7.7;387;420;833;3
Ag46.2 Ca30.5 Mg15.4 Cu7.7;414;445;805;0.8
Ag46.2 Ca38.4 Mg15.3;407;439;809;0.3
Ag46.2 Mg30.7 Ca23.1;393;427;880;0.5
Ag50 Ca30.8 Mg19.2 Cu7.7;426;466;797;1.2
Ag53.8 Mg15.4 Ca23.1 Cu7.7;433;463;831;0.5
Ag53.8 Mg23.1 Ca15.4 Cu7.7;407;463;877;0.5
Ag 61.5 Ca23.1 Mg15.4;486;526;920;0.7
Au46 Cu29 Si20 Ag5;395;420;664;1
Au 52 Cu29.2 Si 16.5 Pd 2.3;393;427;651;2
Ca40 Cu35 Mg25;399;436;680;4
Nd61 Al11 Ni8 Co5 Cu15;445;469;744;6
Ca45 Cu30 Mg25;400;438;678;6
Ca45 Mg30 Cu25;401;436;717;1
Ca47.5 Cu30 Mg 22.5;399;440;673;6
Ca50 Cu25 Mg20 Zn5;399;441;654;10
Ca50 Cu27.5 Mg22.5;400;442;663;10
Ca50 Cu20 Al10 Mg20;411;441;731;1
Ca50 Mg25 Cu25;400;439;655;9
Ca50 Mg30 Cu20;402;439;731;2
Ca55 Cu23 Mg11 Zn11;379;430;717;1
Ca55 Cu30 Mg15;397;437;706;3
Ca55 Mg25 Cu30;398;428;668;8
Ca55 Zn25 Mg20;383;428;702;2
Ca55 Mg20 Al15 Zn10;421;477;806;2
Ca55 Mg20 Al19 Zn6;448;484;745;1.5
Ca55 Zn30 Mg15;387;419;696;0.5
Ca60 Al30 Ag10;483;531;868;2
Ca60 Mg20 Zn20;378;415;660;4
Ca60 Mg25 Zn15;377;409;744;1
